260 -     4 - :crab:
261 -     4 - :wine_glass:
262 -     4 - :astonished_face:
263 -     4 - :snowman_without_snow:
264 -     4 - :see-no-evil_monkey:
265 -     4 - :face_with_cold_sweat:
266 -     4 - :sunrise_over_mountains:
267 -     4 - :right-facing_fist:
268 -     4 - :zipper-mouth_face:
269 -     4 - :sun_with_face:
270 -     4 - :blue_circle:
271 -     4 - :new_moon_face:
272 -     4 - :house:
273 -     4 - :cloud_with_lightning_and_rain:
274 -     4 - :lizard:
275 -     4 - :bomb:
276 -     4 - :necktie:
277 -     4 - :face_with_rolling_eyes:
278 -     4 - :link:
279 -     4 - :japanese_acceptable_button:
280 -     4 - :clockwise_vertical_arrows:
281 -     4 - :anticlockwise_arrows_button:
282 -     4 - :round_pushpin:
283 -     4 - :ice_cream:
284 -     4 - :busts_in_silhouette:
285 -     4 - :left-right_arrow:
286 -     4 - :person_lifting_weights:
287 -     4 - :dragon:
288 -     4 - :butterfly:
289 -     3 - :nerd_face:
290 -     3 - :man_dancing:
291 -     3 - :unicorn_face:
292 -     3 - :wrapped_gift:
293 -     3 - :tropical_drink:
294 -     3 - :hushed_face:
295 -     3 - :left-pointing_magnifying_glass:
296 -     3 - :sunglasses:
297 -     3 - :racing_car:
298 -     3 - :slightly_frowning_face:
299 -     3 - :registered:
300 -     3 - :wedding:
301 -     3 - :rose:
302 -     3 - :red_circle:
303 -     3 - :1st_place_medal:
304 -     3 - :purple_heart:
305 -     3 - :crystal_ball:
306 -     3 - :drum:
307 -     3 - :goat:
308 -     3 - :fork_and_knife:
309 -     3 - :confused_face:
310 -     3 - :bridge_at_night:
311 -     3 - :up!_button:
312 -     3 - :party_popper:
313 -     3 - :baby_angel:
314 -     3 - :octopus:
315 -     3 - :left-facing_fist:
316 -     3 - :stuffed_flatbread:
317 -     3 - :fast_up_button:
318 -     3 - :heavy_plus_sign:
319 -     3 - :kissing_face_with_closed_eyes:
320 -     3 - :ok_button:
321 -     3 - :owl:
322 -     3 - :tennis:
323 -     3 - :cow:
324 -     3 - :orange_book:
325 -     3 - :person_walking:
326 -     3 - :sunflower:
327 -     3 - :expressionless_face:
328 -     3 - :heavy_heart_exclamation:
329 -     3 - :footprints:
330 -     3 - :dog:
331 -     3 - :scissors:
332 -     3 - :palm_tree:
333 -     3 - :tanabata_tree:
334 -     3 - :oil_drum:
335 -     3 - :high_voltage:
336 -     3 - :spider:
337 -     3 - :paw_prints:
338 -     3 - :3rd_place_medal:
339 -     3 - :military_medal:
340 -     3 - :dango:
341 -     3 - :rat:
342 -     3 - :egg:
343 -     3 - :watermelon:
344 -     3 - :two_hearts:
345 -     2 - :white_flag:
346 -     2 - :wastebasket:
347 -     2 - :chequered_flag:
348 -     2 - :face_without_mouth:
349 -     2 - :sleepy_face:
350 -     2 - :chocolate_bar:
351 -     2 - :green_heart:
352 -     2 - :pot_of_food:
353 -     2 - :dotted_six-pointed_star:
354 -     2 - :bicycle:
355 -     2 - :cat:
356 -     2 - :beating_heart:
357 -     2 - :writing_hand:
358 -     2 - :mouse_face:
359 -     2 - :balance_scale:
360 -     2 - :articulated_lorry:
361 -     2 - :train:
362 -     2 - :spoon:
363 -     2 - :crocodile:
364 -     2 - :hole:
365 -     2 - :burrito:
366 -     2 - :heavy_multiplication_x:
367 -     2 - :heavy_large_circle:
368 -     2 - :o_button_(blood_type):
369 -     2 - :airplane:
370 -     2 - :cooked_rice:
371 -     2 - :turkey:
372 -     2 - :tear-off_calendar:
373 -     2 - :birthday_cake:
374 -     2 - :poultry_leg:
375 -     2 - :disappointed_face:
376 -     2 - :person_gesturing_ok:
377 -     2 - :four_leaf_clover:
378 -     2 - :smiling_face:
379 -     2 - :sport_utility_vehicle:
380 -     2 - :avocado:
381 -     2 - :sheep:
382 -     2 - :gem_stone:
383 -     2 - :hospital:
384 -     2 - :shortcake:
385 -     2 - :sailboat:
386 -     2 - :alarm_clock:
387 -     2 - :kissing_face:
388 -     2 - :tiger_face:
389 -     2 - :lion_face:
390 -     2 - :bus:
391 -     2 - :persevering_face:
392 -     2 - :circled_m:
393 -     2 - :hot_dog:
394 -     2 - :roasted_sweet_potato:
395 -     2 - :right_arrow:
396 -     2 - :no_one_under_eighteen:
397 -     2 - :tulip:
398 -     2 - :cherry_blossom:
399 -     2 - :love_hotel:
400 -     2 - :spider_web:
401 -     2 - :world_map:
402 -     2 - :no_pedestrians:
403 -     2 - :no_entry:
404 -     2 - :bat:
405 -     2 - :cross_mark_button:
406 -     2 - :clapper_board:
407 -     2 - :sign_of_the_horns:
408 -     2 - :penguin:
409 -     2 - :turtle:
410 -     2 - :ambulance:
411 -     2 - :cucumber:
412 -     2 - :speaker_high_volume:
413 -     2 - :saxophone:
414 -     2 - :police_officer:
415 -     2 - :family:
416 -     2 - :fried_shrimp:
417 -     1 - :bride_with_veil:
418 -     1 - :hibiscus:
419 -     1 - :hot_pepper:
420 -     1 - :beach_with_umbrella:
421 -     1 - :baby_bottle:
422 -     1 - :doughnut:
423 -     1 - :steaming_bowl:
424 -     1 - :thought_balloon:
425 -     1 - :person_bouncing_ball:
426 -     1 - :syringe:
427 -     1 - :small_orange_diamond:
428 -     1 - :spaghetti:
429 -     1 - :cloud_with_snow:
430 -     1 - :red_triangle_pointed_down:
431 -     1 - :baseball:
432 -     1 - :potable_water:
433 -     1 - :books:
434 -     1 - :shield:
435 -     1 - :guitar:
436 -     1 - :lady_beetle:
437 -     1 - :large_orange_diamond:
438 -     1 - :top_hat:
439 -     1 - :musical_note:
440 -     1 - :two_women_holding_hands:
441 -     1 - :princess:
