718 -     2 - :mouse_face:
719 -     2 - :smh:
720 -     2 - :retweet:
721 -     2 - :balance_scale:
722 -     2 - :articulated_lorry:
723 -     2 - :train:
724 -     2 - :canerda:
725 -     2 - :spoon:
726 -     2 - :crocodile:
727 -     2 - :hole:
728 -     2 - :blobkissblush:
729 -     2 - :burrito:
730 -     2 - :heavy_multiplication_x:
731 -     2 - :feelsgunman:
732 -     2 - :blobfire:
733 -     2 - :ohyea:
734 -     2 - :heavy_large_circle:
735 -     2 - :o_button_(blood_type):
736 -     2 - :roocop:
737 -     2 - :airplane:
738 -     2 - :smuckdrafts:
739 -     2 - :cooked_rice:
740 -     2 - :turkey:
741 -     2 - :tear-off_calendar:
742 -     2 - :birthday_cake:
743 -     2 - :zoidberg:
744 -     2 - :poultry_leg:
745 -     2 - :disappointed_face:
746 -     2 - :rickface:
747 -     2 - :person_gesturing_ok:
748 -     2 - :four_leaf_clover:
749 -     2 - :tears:
750 -     2 - :23:
751 -     2 - :smiling_face:
752 -     2 - :pogchimp:
753 -     2 - :sport_utility_vehicle:
754 -     2 - :avocado:
755 -     2 - :sheep:
756 -     2 - :gem_stone:
757 -     2 - :0k_hand:
758 -     2 - :hospital:
759 -     2 - :shortcake:
760 -     2 - :invokelewd:
761 -     2 - :sailboat:
762 -     2 - :ree:
763 -     2 - :hubthinky:
764 -     2 - :mothsad:
765 -     2 - :basicblobsweat:
766 -     2 - :o:
767 -     2 - :alarm_clock:
768 -     2 - :koncha:
769 -     2 - :sleeping:
770 -     2 - :kissing_face:
771 -     2 - :tiger_face:
772 -     2 - :lion_face:
773 -     2 - :tilted:
774 -     2 - :bus:
775 -     2 - :persevering_face:
776 -     2 - :legacyblobeyes:
777 -     2 - :whatthefuck:
778 -     2 - :circled_m:
779 -     2 - :notlikenico:
780 -     2 - :4chan:
781 -     2 - :hot_dog:
782 -     2 - :thinking:
783 -     2 - :blobconfounded:
784 -     2 - :fierysnake:
785 -     2 - :com1:
