365 -    14 - :vohiyo:
366 -    14 - :comradepanda:
367 -    13 - :ballot_box_with_check:
368 -    13 - :el:
369 -    13 - :baby:
370 -    13 - :raising_hands:
371 -    13 - :crescent_moon:
372 -    13 - :19:
373 -    13 - :person_raising_hand:
374 -    13 - :clinking_beer_mugs:
375 -    13 - :pregnant_woman:
376 -    13 - :goblin:
377 -    13 - :22:
378 -    13 - :money_bag:
379 -    13 - :blob0w0:
380 -    13 - :sungpark:
381 -    12 - :door:
382 -    12 - :money-mouth_face:
383 -    12 - :medium-dark_skin_tone:
384 -    12 - :googlemuscler:
385 -    12 - :blobcool:
386 -    12 - :sports_medal:
387 -    12 - :weary_cat_face:
388 -    12 - :treethink:
389 -    12 - :banana:
390 -    12 - :biblethump:
391 -    12 - :grimacing_face:
392 -    12 - :meme:
393 -    12 - :rainblob:
394 -    12 - :rocket:
395 -    12 - :blobkissheart:
396 -    12 - :americapanda:
397 -    12 - :pig_face:
398 -    12 - :hourglass_with_flowing_sand:
399 -    12 - :face_with_medical_mask:
400 -    12 - :ok_button:
401 -    12 - :copyright:
402 -    12 - 🇮🇱
403 -    12 - :face_with_stuck-out_tongue_&_closed_eyes:
404 -    12 - :bust_in_silhouette:
405 -    12 - :speaking_head:
406 -    12 - 7⃣
407 -    12 - :hot_beverage:
408 -    12 - :blobpoliceangry:
409 -    12 - 🏳️‍🌈
410 -    11 - :24:
411 -    11 - :53:
412 -    11 - :blobdevil:
413 -    11 - :worried_face:
414 -    11 - :trigasm:
415 -    11 - :lying_face:
416 -    11 - :45:
417 -    11 - :6k:
418 -    11 - :hugging_face:
419 -    11 - :04:
420 -    11 - 🇽
421 -    11 - :crying_cat_face:
422 -    11 - :warning:
423 -    11 - :snowman:
424 -    11 - :blobeyes:
425 -    11 - :blobglare:
426 -    11 - :deciduous_tree:
427 -    11 - :nose:
428 -    11 - 🇯
429 -    10 - :dannyw:
430 -    10 - :rainbow:
431 -    10 - :angry_face:
432 -    10 - :smirking_face:
433 -    10 - :woman_dancing:
434 -    10 - :flushed_face:
435 -    10 - :kingok:
436 -    10 - :03:
437 -    10 - :person_gesturing_no:
438 -    10 - :skull_and_crossbones:
439 -    10 - :33:
440 -    10 - :smiling_cat_face_with_heart-eyes:
441 -    10 - :blobsnuggle:
442 -    10 - :photoblob:
443 -    10 - :kiss_mark:
444 -    10 - :blobrofl:
445 -    10 - :japanese_not_free_of_charge_button:
446 -    10 - :growing_heart:
447 -    10 - :leaf_fluttering_in_wind:
448 -    10 - :rickblob:
449 -    10 - :googlepistol:
450 -     9 - :giff:
451 -     9 - :wheelchair_symbol:
452 -     9 - :thonk:
453 -     9 - :wastebasket:
454 -     9 - :handshake:
455 -     9 - :raised_hand:
456 -     9 - :baguette_bread:
457 -     9 - 👋🏿
458 -     9 - :face_savouring_delicious_food:
459 -     9 - :1st_place_medal:
460 -     9 - :face_blowing_a_kiss:
461 -     9 - :blobtired:
462 -     9 - :cat_face:
463 -     9 - :cancer:
464 -     9 - :heavy_plus_sign:
465 -     9 - :25:
466 -     9 - :11:
467 -     9 - :slightly_smiling_face:
468 -     9 - :notebook_with_decorative_cover:
469 -     9 - :face_with_stuck-out_tongue_&_winking_eye:
470 -     9 - :cool_button:
471 -     9 - 👌🏿
472 -     9 - :wind_chime:
473 -     9 - :blobsmileopenmouth:
474 -     9 - :keycap_10:
475 -     9 - :memo:
476 -     9 - :notebook:
477 -     9 - :31:
478 -     9 - :blobpolice:
479 -     9 - :llawut:
480 -     9 - 🇶
481 -     9 - :zharkifan:
482 -     8 - :henryw:
483 -     8 - :54:
484 -     8 - :roocry:
485 -     8 - :roosip:
486 -     8 - :58:
487 -     8 - :monkamega:
488 -     8 - :brokeback:
489 -     8 - :christmas_tree:
490 -     8 - :check:
491 -     8 - :doot:
492 -     8 - :kingsleep:
493 -     8 - :26:
494 -     8 - :white_question_mark:
495 -     8 - :feelsdabman:
496 -     8 - :full_moon_with_face:
497 -     8 - :blobnervous:
498 -     8 - :blobconfused:
499 -     8 - :llapraise:
500 -     8 - :input_numbers:
501 -     8 - :blobthumbsdown:
502 -     8 - :basicblobthink:
503 -     8 - :octopus:
504 -     8 - :narwalthinking:
505 -     8 - :chance:
506 -     8 - :smiling_face_with_halo:
507 -     8 - :play_button:
508 -     8 - :oncoming_fist:
509 -     8 - :blobzippermouth:
510 -     8 - :blobangry:
511 -     8 - :cloud:
512 -     8 - :tractor:
513 -     8 - :framed_picture:
514 -     8 - :male_sign:
515 -     8 - :p_button:
516 -     8 - :blobpatrol:
517 -     8 - :nysmouse:
518 -     8 - :thinkraging:
519 -     8 - :page_with_curl:
520 -     8 - :collision:
521 -     7 - :wantsumfuk:
522 -     7 - :ryrk:
523 -     7 - :blobnerd:
524 -     7 - :anchor:
525 -     7 - :kappa:
526 -     7 - :raised_hand_with_fingers_splayed:
527 -     7 - :bear_face:
528 -     7 - :47:
529 -     7 - :rice_cracker:
530 -     7 - :grinning_face_with_smiling_eyes:
531 -     7 - :feelsgoodman:
532 -     7 - :32:
533 -     7 - :57:
534 -     7 - :blobtonguewink:
535 -     7 - :scream2:
536 -     7 - :koala:
537 -     7 - :fork_and_knife:
538 -     7 - :googlecat:
539 -     7 - :zzz:
540 -     7 - :wine_glass:
541 -     7 - :zip:
542 -     7 - :blobugh:
543 -     7 - :sun:
544 -     7 - :female_sign:
545 -     7 - :black_circle:
546 -     7 - :smiling_face_with_open_mouth_&_closed_eyes:
547 -     7 - :bell:
548 -     7 - :whatthefuck:
549 -     7 - :30:
550 -     7 - 🇿
551 -     7 - :lollipop:
552 -     7 - :ng_button:
553 -     7 - :bloboutage:
554 -     7 - 9⃣
555 -     7 - :japanese_application_button:
556 -     7 - :blobamused:
557 -     7 - :cucumber:
558 -     6 - :tinyphil:
559 -     6 - :ryrkface:
560 -     6 - 6⃣
561 -     6 - :lizard:
562 -     6 - :boxing_glove:
563 -     6 - :monkey:
564 -     6 - :pool_8_ball:
565 -     6 - :42:
566 -     6 - :neutral_face:
567 -     6 - :french_fries:
568 -     6 - :gskwtf:
569 -     6 - :blobhighfive:
570 -     6 - :kingowo:
571 -     6 - :51:
572 -     6 - :blobfistbumpl:
573 -     6 - :potable_water:
574 -     6 - :blobangel:
575 -     6 - :mmmmhyea:
576 -     6 - :confetti_ball:
577 -     6 - :blobwoah:
578 -     6 - :blobdead:
579 -     6 - :blobxd:
580 -     6 - :oncoming_police_car:
581 -     6 - :09:
582 -     6 - :snowman_without_snow:
583 -     6 - :kingpalm:
584 -     6 - :3rd_place_medal:
585 -     6 - :theonking:
586 -     6 - :face_with_steam_from_nose:
587 -     6 - :rollsafe:
588 -     6 - :blobidea:
589 -     6 - :horse:
590 -     6 - :full_moon:
591 -     6 - :blobdizzy:
592 -     6 - 🖕🏾
593 -     6 - :cloud_with_rain:
594 -     6 - :woman’s_hat:
595 -     6 - :video_game:
596 -     6 - :man_and_woman_holding_hands:
597 -     6 - :milky_way:
598 -     6 - :incoming_envelope:
599 -     6 - :radio_button:
600 -     6 - :bus_stop:
601 -     6 - :blobok:
602 -     6 - :facepanda:
603 -     6 - :footprints:
604 -     6 - :ear_of_corn:
605 -     6 - 8⃣
606 -     6 - :link:
607 -     6 - 🇻
608 -     6 - :japanese_secret_button:
609 -     6 - :megaphone:
610 -     6 - :sparkles:
611 -     6 - :blobgo:
612 -     5 - :nerd_face:
613 -     5 - :44:
614 -     5 - :dragon:
615 -     5 - :anguished_face:
616 -     5 - :stop_sign:
617 -     5 - :blobfrowningbig:
618 -     5 - :gwchadthinkeyes:
619 -     5 - :face_with_rolling_eyes:
620 -     5 - :thonkang:
