311 -     4 - :lul:
312 -     4 - :water_wave:
313 -     4 - 🤵🏾
314 -     4 - :nauseated_face:
315 -     4 - :disappointed_but_relieved_face:
316 -     4 - :edge:
317 -     4 - :fork_and_knife:
318 -     4 - :smiling_face_with_open_mouth_&_smiling_eyes:
319 -     4 - :comradepanda:
320 -     4 - :jack-o-lantern:
321 -     4 - :admission_tickets:
322 -     4 - 💇🏾
323 -     4 - :dizzy_face:
324 -     4 - :blobhyperthinkfast:
325 -     4 - :zaichoon:
326 -     4 - :trumpet:
327 -     4 - :blobthinkingcool:
328 -     4 - :money_with_wings:
329 -     4 - :weary_face:
330 -     4 - 5⃣
331 -     4 - :rainblob:
332 -     4 - :cocktail_glass:
333 -     4 - :hear-no-evil_monkey:
334 -     4 - :riupride:
335 -     4 - :kyouko1:
336 -     4 - :smiling_face_with_smiling_eyes:
337 -     4 - :llaohmy:
338 -     4 - :rainblobowo:
339 -     4 - 👬🏿
340 -     4 - :cross_mark:
341 -     4 - :riufeelsbirdman:
342 -     4 - :googlebee:
343 -     4 - :blobsurprised:
344 -     4 - :shooting_star:
345 -     4 - :omegalul:
346 -     4 - :id_button:
347 -     3 - :blackdanny:
348 -     3 - :giff:
349 -     3 - :shark:
350 -     3 - :xmark:
351 -     3 - :blobthink:
352 -     3 - :banana:
353 -     3 - :blobfrowningbig:
354 -     3 - :thonking:
355 -     3 - :doughnut:
356 -     3 - :trigasm:
357 -     3 - :heart_suit:
358 -     3 - :3rd_place_medal:
359 -     3 - :worried_face:
360 -     3 - :monkamega:
361 -     3 - :skull_and_crossbones:
362 -     3 - :vioh:
363 -     3 - :raised_fist:
364 -     3 - 0⃣
365 -     3 - :wine_glass:
366 -     3 - :narwalthinking:
367 -     3 - :wind_chime:
368 -     3 - :blobhyperthink:
369 -     3 - :thinkingsmirk:
370 -     3 - :thonker:
371 -     3 - :seven-thirty:
372 -     3 - :cheese_wedge:
373 -     3 - :kingok:
374 -     3 - :keycap_10:
375 -     3 - :nysmouse:
376 -     3 - :voteyea:
377 -     3 - :left_speech_bubble:
378 -     3 - :snowflake:
379 -     3 - :notebook:
380 -     3 - :thinkraging:
381 -     3 - 👋🏼
382 -     3 - :googleturtle:
383 -     3 - :ear:
384 -     3 - :googlepenguin:
385 -     3 - :blobdizzy:
386 -     3 - :blobidea:
387 -     3 - :tonker:
388 -     3 - :smiling_face_with_open_mouth:
389 -     3 - :meme:
390 -     3 - :evergreen_tree:
391 -     3 - :white_exclamation_mark:
392 -     3 - :hachink:
393 -     3 - :footprints:
394 -     3 - 👭🏿
395 -     3 - :wolfiriblob:
396 -     3 - :cat_face_with_wry_smile:
397 -     3 - :saxophone:
398 -     3 - :blobrofl:
399 -     3 - :theos_vult:
400 -     3 - :deciduous_tree:
401 -     3 - 🇸🇲
402 -     3 - 🇺🇲
403 -     3 - :boy:
404 -     3 - :ohyea:
405 -     3 - :mmmmhyea:
406 -     3 - :blobsmilesweat2:
407 -     3 - :blobpolice:
408 -     3 - :blobnerd:
409 -     3 - :thinkdick:
410 -     3 - :dadsleeper:
411 -     3 - :gwchadthinkeyes:
412 -     2 - :dagger:
413 -     2 - :lizard:
414 -     2 - :roofat:
415 -     2 - :down_button:
416 -     2 - :running_shoe:
417 -     2 - :ballot_box_with_check:
418 -     2 - :kreygasm:
419 -     2 - :face_savouring_delicious_food:
420 -     2 - :telephone_receiver:
421 -     2 - 👉🏾
422 -     2 - :redpanda:
423 -     2 - :roosip:
424 -     2 - :dotprejected:
425 -     2 - :votenay:
426 -     2 - :verysad:
427 -     2 - :blobweary:
428 -     2 - :roobooli:
429 -     2 - :feelsdabman:
430 -     2 - :peanuts:
431 -     2 - :truckdrafts:
432 -     2 - :fire_engine:
433 -     2 - :crown:
434 -     2 - :snowman_without_snow:
435 -     2 - :cow:
436 -     2 - :boxing_glove:
437 -     2 - :face_with_open_mouth:
438 -     2 - :post_office:
439 -     2 - :2nd_place_medal:
440 -     2 - :blobdead:
441 -     2 - :black_circle:
442 -     2 - :narwaldabbing:
443 -     2 - :scissors:
444 -     2 - :hammer_and_pick:
445 -     2 - :zaiwow:
446 -     2 - :upvote:
447 -     2 - :fraser:
448 -     2 - 👍🏿
449 -     2 - :slightly_smiling_face:
450 -     2 - :googlecatheart:
451 -     2 - :googlecat:
452 -     2 - :googlecatface:
453 -     2 - ✊🏿
454 -     2 - :smiling_face_with_open_mouth_&_closed_eyes:
455 -     2 - :palm_tree:
456 -     2 - :facepanda:
457 -     2 - :goobriel:
458 -     2 - :mushroom:
459 -     2 - :catbugss:
460 -     2 - :blobblush:
461 -     2 - :feelsjebman:
462 -     2 - :beer_mug:
463 -     2 - :crossed_swords:
464 -     2 - :thought_balloon:
465 -     2 - 👍🏼
466 -     2 - :e_:
467 -     2 - :spider:
468 -     2 - :spider_web:
469 -     2 - :woman’s_boot:
470 -     2 - :link:
471 -     2 - 👏🏼
472 -     2 - :paintbrush:
473 -     2 - :bloodninja:
474 -     2 - :kiss_mark:
475 -     2 - 👶🏼
476 -     2 - :heavy_check_mark:
477 -     2 - :camera:
478 -     2 - :blobcouncil:
479 -     2 - :blobteefs:
480 -     2 - :soon_arrow:
481 -     2 - :blobgo:
482 -     2 - :yugi:
483 -     2 - :full_moon_with_face:
484 -     2 - 👍🏻
485 -     2 - :sailboat:
486 -     2 - :blobpatrol:
487 -     2 - :burger:
488 -     2 - :blobamused:
489 -     2 - 🤦🏻
490 -     2 - :riugold:
491 -     2 - :one_o’clock:
492 -     2 - :one-thirty:
493 -     2 - :kirblob:
494 -     2 - 🤦🏼
495 -     2 - :egg:
496 -     2 - :up_arrow:
497 -     2 - :baguette_bread:
498 -     2 - :fried_shrimp:
499 -     2 - 👬🏼
500 -     2 - :dollar_banknote:
501 -     2 - :heavy_dollar_sign:
502 -     2 - :sleeping_face:
503 -     2 - :cmonbruh:
504 -     2 - :japanese_bargain_button:
505 -     2 - :turkey:
506 -     2 - :pingthink:
507 -     2 - :legacyblobthink:
508 -     2 - :nerd_face:
509 -     2 - :dogdogw:
510 -     2 - :dogdoglul:
511 -     2 - :dogdoga:
512 -     2 - 👦🏽
513 -     2 - :duck:
514 -     2 - :blobcoffee:
515 -     2 - :moonxctide:
516 -     2 - :moonxcrip:
517 -     2 - :5_:
518 -     2 - :vioshrug:
519 -     2 - :pepegun:
520 -     2 - :dadawful:
521 -     2 - :blackdaddy:
522 -     2 - :theonking:
523 -     2 - :up_button:
524 -     2 - :catscream2:
525 -     2 - :scream2:
526 -     2 - :yellow_heart:
527 -     1 - :narwal:
528 -     1 - :flame:
529 -     1 - :dragon:
530 -     1 - :maple_leaf:
531 -     1 - :blobcorn:
532 -     1 - :califlag:
533 -     1 - :woman_dancing:
534 -     1 - :record_button:
535 -     1 - :face_with_rolling_eyes:
536 -     1 - :rtzw:
537 -     1 - :msagnnerk:
538 -     1 - :antibork:
539 -     1 - :ryrk:
540 -     1 - :rtzd:
541 -     1 - :lying_face:
542 -     1 - :gskwtf:
543 -     1 - :hole:
544 -     1 - :house:
545 -     1 - :jojostoast:
546 -     1 - 🇫🇷
547 -     1 - :fork_and_knife_with_plate:
548 -     1 - :rooree:
549 -     1 - :man’s_shoe:
550 -     1 - :dashing_away:
551 -     1 - :outbox_tray:
552 -     1 - :books:
553 -     1 - :4head:
554 -     1 - :chicken:
555 -     1 - :ice_cream:
556 -     1 - :sun:
557 -     1 - :rabbit:
558 -     1 - :astonished_face:
559 -     1 - :hugging_face:
560 -     1 - 🇨🇳
561 -     1 - :cancer:
562 -     1 - :narwalfap:
563 -     1 - :daddy:
564 -     1 - :dango:
