387 -     2 - :legacyblobeyes:
388 -     2 - :whatthefuck:
389 -     2 - :notlikenico:
390 -     2 - :4chan:
391 -     2 - :thinking:
392 -     2 - :blobconfounded:
393 -     2 - :fierysnake:
394 -     2 - :com1:
395 -     2 - :com2:
396 -     2 - :com3:
397 -     2 - :com4:
398 -     2 - :googlecake:
399 -     2 - :blobtired:
400 -     2 - :thinking2:
401 -     2 - :tank:
402 -     2 - :15:
403 -     2 - :blobsmileopenmouth2:
404 -     2 - :swirlie:
405 -     2 - :blobflushed:
406 -     2 - :clap:
407 -     2 - :blobupsidedown:
408 -     2 - :blobangry:
409 -     2 - :blobpats:
410 -     2 - :tiiiiilting:
411 -     2 - :spacethink:
412 -     2 - :dadsleeper:
413 -     2 - :blobnom:
414 -     2 - :squarethink:
415 -     2 - :scatmanj2:
416 -     2 - :blobtongue:
417 -     2 - :bc_ok:
418 -     2 - :thesenate:
419 -     2 - :hammer_and_sickle:
420 -     2 - :blobsplosion:
421 -     2 - :hammer_and_sickle_red_on_transpa:
422 -     2 - :hachink:
423 -     2 - :badnicoman:
424 -     2 - :theos_vult:
425 -     2 - :blobhyperthinkbutfast:
426 -     2 - :blobunamused:
427 -     2 - :llawut:
428 -     1 - :truckw:
429 -     1 - :ryrkw:
430 -     1 - :potatow:
431 -     1 - :yeeping:
432 -     1 - :blobhearteye5:
433 -     1 - :blobsleepy:
434 -     1 - :akashrug:
435 -     1 - :rooshrug:
436 -     1 - :z1pghjiydaej:
437 -     1 - :praiseit:
438 -     1 - :owo:
439 -     1 - :zaiw:
440 -     1 - :supporting:
441 -     1 - :galaxythink:
442 -     1 - :hahaa:
443 -     1 - :hahaaa:
444 -     1 - :xdthankxd:
445 -     1 - :vomit:
446 -     1 - :thonkin6:
447 -     1 - :blobgravyeyes:
448 -     1 - :sealspuggoman:
449 -     1 - :blobglarepeek:
450 -     1 - :everquest2:
451 -     1 - :pogchomp:
452 -     1 - :penis:
453 -     1 - :xagfacenospace:
454 -     1 - :blackwot:
455 -     1 - :truckwafflehead:
456 -     1 - :potatohyes:
457 -     1 - :yeping:
458 -     1 - :roonap:
459 -     1 - :06:
460 -     1 - :noose:
461 -     1 - :bkllobhearteyes:
462 -     1 - :feelsweirdman:
463 -     1 - :yang:
464 -     1 - :weiss:
465 -     1 - :ruby:
466 -     1 - :ren:
